IDS_LANGUAGE            "Bahasa Indonesia"
IDS_IS_RTL              "0"
IDS_MAIN_WNDTITLE       "Pencopotan Unchecky v%s"
IDS_MAIN_TITLE          "Unchecky"
IDS_MAIN_SUBTITLE       "Menjaga kotak centang anda bersih"
IDS_MAIN_INSTALL        "Copot"
IDS_MAIN_INSTALLING     "Mencopot..."
IDS_MAIN_FINISH         "Selesai"
IDS_MAIN_ERROR_UNCHECKY_RUNNING "Mohon tutup semua proses maupun halaman Unchecky sebelum melanjutkan"
IDS_MAINCTRL_TEXT       "Unchecky akan dicopot dari folder berikut. Klik Copot untuk memulai pencopotan."
IDS_MAINCTRL_PATHTEXT   "Mencopot dari:"
IDS_MAINCTRL_REMOVE_SETTINGS "Mengahpus pengaturan yang disimpan"
IDS_FINISHCTRL_TEXT1    "Unchecky sudah dicopot dari komputer anda."
IDS_FINISHCTRL_ERROR_NOTE "Beberapa elemen tidak dapat terhapus. Elemen-elemen tersebut dapat dihapus secara manual."
IDS_FINISHCTRL_TEXT2    "Klik Selesai untuk menutup Setup."
