IDS_LANGUAGE            "Svenska"
IDS_IS_RTL              "0"
IDS_OK                  "OK"
IDS_CANCEL              "Avbryt"
IDS_APPLY               "&Verkställ"
IDS_MAIN_WNDTITLE       "Unchecky"
IDS_HEADER_MAIN         "&Hem"
IDS_HEADER_CONFIG       "&Inställningar"
IDS_HEADER_ABOUT        "&Om"
IDS_MAINCTRL_TEXT       "Välkommen till Unchecky, programmet som försöker hålla din dator fri från oönskade program."
IDS_MAINCTRL_TEXT_SVC_RUNNING "Unchecky-tjänsten körs."
IDS_MAINCTRL_TEXT_SVC_STOPPED "Unchecky-tjänsten är stoppad. Tjänsten kommer återupptas vid omstart av datorn."
IDS_MAINCTRL_TEXT_QUERYERROR "Ett fel uppstod när Unchecky-tjänstens status kontrollerades."
IDS_MAINCTRL_STATS_NONE_NEWGUY "Det verkar som att du precis installerat Unchecky. Det finns ingen information att visa ännu."
IDS_MAINCTRL_STATS_NONE "Inga kryssrutor urkryssade hittills. Det verkar som att du håller dig undan från mjukvara som installerar potentiellt oönskade program, bra jobbat!"
IDS_MAINCTRL_STATS      "Sedan %s, har %u kryssrutor kryssats ur%s."
IDS_MAINCTRL_STATS_WARNING " och %u varningar visats"
IDS_MAINCTRL_LOG        "Aktivitets&logg"
IDS_MAINCTRL_STOP       "&Stoppa tjänsten"
IDS_MAINCTRL_START      "&Återuppta tjänsten"
IDS_CONFIG_LANG         "&Språk:"
IDS_CONFIG_NO_TRAY_ICON "Visa inte en ikon i meddelandefältet"
IDS_CONFIG_NO_WARNING_TOOLTIPS "Visa ingen varnings-&notis"
IDS_CONFIG_EXCLUDED     "E&xcluded programs:"
IDS_CONFIG_EXCLUDED_ADD "A&dd..."
IDS_CONFIG_EXCLUDED_REMOVE "&Remove"
IDS_CONFIG_ADVANCED     "Av&ancerade inställningar"
IDS_ABOUT_BETA          "beta"
IDS_ABOUT_AUTHOR        "© 2018 Reason Company Software Inc. • Översatt av <a href=""mailto:t.dotar@gmail.com"">Torsten Augustsson</a>"
IDS_ABOUT_LINKS         "<a href=""http://unchecky.com/"">Hemsida</a> • <a href=""http://unchecky.userecho.com/"">Bugg-/funktionstracker</a>"
IDS_ABOUT_LINKS_LEGAL   "<a href=""http://unchecky.com/eula"">Licensavtal för slutanvändare</a> • <a href=""http://unchecky.com/privacy_policy"">Sekretesspolicy</a>"
IDS_ERROR_LINK          "Länken kunde inte öppnas.\n\nFör att använda webblänkar måste du ha en webbläsare (t.ex. Internet Explorer, Mozilla Firefox eller Google Chrome). För att kunna använda e-postlänkar måste du ha en e-postklient (t.ex. Windows Live Mail, Outlook eller Mozilla Thunderbird)."
IDS_ADVOPT_TITLE        "Avancerade inställningar"
IDS_ADVOPT_NO_UPDATES   "Inaktivera automatiska &uppdateringar"
IDS_ADVOPT_NO_HOSTS     "Använd inte regler för &host-filen"
IDS_ADVOPT_WARNING_TEXT "Pilla inte på inställningarna ovan om du inte vet vad du gör! Inställningarna gör Unchecky verkningslöst. Ändra endast dess inställningar om du måste, och om du vet vad de betyder."
IDS_ADVOPT_RESTART_TEXT "Unchecky-tjänsten måste startas om innan inställningarna börjar verka."
IDS_LOG_TITLE           "Aktivitetslogg"
IDS_LOG_HANDLED_TEXT    "Gratulerar, Unchecky har precis hindrat installationen av ett potentiellt oönskat program på din dator!"
IDS_LOG_MAINTEXT        "Nedan finns aktivitetsloggen för Unchecky. Du kan se vilka installationer det hittat, hur många erbjudanden som nekats, och hur många varningar som visats."
IDS_LOG_TABLE_DATE      "Datum och Tid"
IDS_LOG_TABLE_INSTALLER "Installationsnamn"
IDS_LOG_TABLE_DECLINED  "Erbjudanden nekade"
IDS_LOG_TABLE_WARNED    "Visade varningar"
IDS_LOG_BALLOON_TOOLTIP "Har Unchecky hjälpt dig undvika potentiellt oönskade program? Berätta om det för vänner och familj. Dela nu!"
IDS_LOG_SHARE_FACEBOOK  "Dela på Facebook"
IDS_LOG_SHARE_TWITTER   "Dela på Twitter"
IDS_LOG_SHARE_EMAIL     "Dela via Email"
IDS_SHARE_TWITTER_GENERIC "@uncheckyreason hjälper till att motverka installationer av potentiellt oönskade program på din dator. Rekommenderas varmt! #anti_pup"
IDS_SHARE_TWITTER_MAIN  "Under installationen av %1, %2 av @uncheckyreason. Rekommenderas varmt! #anti_pup"
IDS_SHARE_TWITTER_PREVENTED "hindrades %u potentiellt oönskade program"
IDS_SHARE_TWITTER_AND   " och "
IDS_SHARE_TWITTER_WARNED "varnades jag om %u erbjudanden"
IDS_LOG_EMAIL_GMAIL     "&Gmail"
IDS_LOG_EMAIL_YAHOO     "&Yahoo"
IDS_LOG_EMAIL_CLIENT    "&Epostklient"
IDS_LOG_CLEAR_TEXT      "&Rensa aktivitetslogg"
IDS_LOG_CLEAR_WARNING   "Aktivitetsloggen kommer rensas. Är du säker på att du vill fortsätta?"
IDS_SHARE_EMAIL_SUBJECT "Programrekommendation: Unchecky"
IDS_SHARE_EMAIL_MAIN    "Hej!\n\nJag vill rekommendera ett program jag precis hittat.\nDet heter Unchecky och hjälper dig att hindra potentiellt oönskade program från att installeras på din dator.\n%1Du kan få tag på det här:\nhttp://unchecky.com/?ref=email\n\nTa hand om dig!."
IDS_SHARE_EMAIL_EXAMPLE "Till exempel, det %1 medans jag installerade: %2.\n"
IDS_SHARE_EMAIL_PREVENTED "hindrade %u potentiellt oönskade program"
IDS_SHARE_EMAIL_AND     " och "
IDS_SHARE_EMAIL_WARNED  "varnade mig om %u erbjudanden"
