IDS_LANGUAGE            "Srpski"
IDS_IS_RTL              "0"
IDS_MAIN_WNDTITLE       "Unchecky v%s deinstalacija"
IDS_MAIN_TITLE          "Unchecky"
IDS_MAIN_SUBTITLE       "Čisti vaša izborna polja"
IDS_MAIN_INSTALL        "&Deinstaliraj"
IDS_MAIN_INSTALLING     "&Deinstaliranje..."
IDS_MAIN_FINISH         "&Završi"
IDS_MAIN_ERROR_UNCHECKY_RUNNING "Molimo zatvorite sve pokrenute Unchecky programe pre nastavka"
IDS_MAINCTRL_TEXT       "Unchecky će biti deinstaliran iz sledećeg foldera. Kliknite deinstaliraj za pokretanje deinstalacije."
IDS_MAINCTRL_PATHTEXT   "Deinstaliranje iz:"
IDS_MAINCTRL_REMOVE_SETTINGS "Ukloni sačuvana &podešavanja"
IDS_FINISHCTRL_TEXT1    "Unchecky je deinstaliran sa vašeg računara."
IDS_FINISHCTRL_ERROR_NOTE "Neki elementi nisu mogli biti uklonjeni. Oni se mogu ručno ukloniti."
IDS_FINISHCTRL_TEXT2    "Kliknite završi za zatvaranje podešavanja."
