IDS_LANGUAGE            "Lietuvių"
IDS_IS_RTL              "0"
IDS_MAIN_WNDTITLE       "Unchecky v%s pašalinimas"
IDS_MAIN_TITLE          "Unchecky"
IDS_MAIN_SUBTITLE       "Atžymi langelius už Jus"
IDS_MAIN_INSTALL        "&Pašalinti"
IDS_MAIN_INSTALLING     "&Šalinama..."
IDS_MAIN_FINISH         "&Baigti"
IDS_MAIN_ERROR_UNCHECKY_RUNNING "Prieš tęsiant uždaykite visas Unchecky programas"
IDS_MAINCTRL_TEXT       "Unchecky bus pašalinta iš šio aplanko. Norėdami pradėti šalinimą, spauskite Pašalinti."
IDS_MAINCTRL_PATHTEXT   "Pašalinama iš:"
IDS_MAINCTRL_REMOVE_SETTINGS "Pašalinti išsaugotus &nustatymus"
IDS_FINISHCTRL_TEXT1    "Unchecky buvo pašalinta iš Jūsų kompiuterio."
IDS_FINISHCTRL_ERROR_NOTE "Kai kurie elementai buvo nepašalinti. Jie gali būti pašalinti rankiniu būdu."
IDS_FINISHCTRL_TEXT2    "Norėdami uždaryti, spauskite Baigti."
